id,output,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30
100397,0,9.12,-10.533,9.143,19.405,10.314,8.597,4.57,12.579,41.228,244.074,281.111,40,59.259,50.185,6025,1.704,1.549,40.892,1.063,2.256,33.196,-12.981,-4.984,-2.635,-2.478,532261649,2.682,1.843,1.851,1.272
100398,0,71.178,0.639,0.651,2.127,3.191,0.726,1.089,2.108,57.993,156.437,285.622,122.631,160.263,26.116,474.698,3.633,3.269,53.814,0.896,2.928,26.558,-19.602,-8.69,-6.028,-6.721,638513846,18.642,16.761,9.548,8.585
100399,0,12.079,-6.87,1.744,57.534,184.313,1.564,6.333,23.351,40.575,34.307,71.029,1674.468,951.063,3.669,70.3,2.011,1.937,48.946,1.114,36.155,43.604,15.235,9.421,9.136,8.196,544523861,4.823,4.215,6.741,5.892
100400,0,19.166,-31.292,4.408,13.863,21.406,3.222,4.976,20.038,47.805,49.19,65.377,211.809,6.095,31.455,162.311,1.99,1.374,50.269,1.367,4.301,61.393,19.745,19.201,13.095,9.573,1008701593,3.41,3.166,3.202,2.973
100401,0,8.352,13.394,1.649,7,15.6,1.653,3.685,31.388,25.07,83.674,85.962,317.538,9.302,23.427,157.652,4.63,2.811,50.51,0.997,4.233,20.81,-0.126,-0.123,-0.094,-0.094,1061235164,8.935,7.722,5.965,5.155
100402,0,-10.939,-7.016,2.627,7.169,14.339,2.409,4.819,22.891,50.193,19.512,120.325,157.981,0.366,38.707,61.744,2.473,1.902,30.113,1.09,2.975,59.474,-12.669,-12.227,-7.745,-7.102,791553727,3.475,2.852,3.236,2.656
100403,0,2.202,-18.025,4.275,12.091,24.893,2.478,5.103,29.863,34.126,122.865,151.128,135.505,37.234,36.665,585.227,1.487,1.487,42.418,1.724,4.877,35.563,24.385,18.91,12.223,7.086,1170193266,3.01,2.314,3.031,2.331
100404,0,59.021,11.546,4.037,17.064,43.295,1.156,2.933,18.316,16.025,43.436,73.922,371.213,11.006,20.737,71.85,0.68,0.568,42.021,3.492,14.761,28.03,1.16,1.118,0.853,0.244,2425980184,3.923,3.132,4.703,3.755
100405,0,-6.546,-5.668,2.525,10.58,23.827,2.98,6.711,24.843,39.314,26.148,190.569,123.431,147.392,26.966,35.722,3.343,3.343,49.327,0.847,3.55,23.116,-7.328,-4.341,-3.305,-3.901,1622504484,4.708,4.585,4.699,4.576
100406,0,-4.54,-13.881,0.422,1.191,6.041,0.286,1.451,12.049,40.8,41.108,94.097,158.496,18.014,36.164,128.864,1.628,1.5,36.681,1.477,4.162,30.989,10.201,9.008,5.811,3.934,4132638298,5.183,4.739,4.649,4.25
100407,0,-13.482,11.536,4.721,10.961,22.157,3.691,7.461,32.67,23.427,110.649,173.736,61.589,54.697,46.234,160.884,2.585,2.388,34.258,1.278,2.969,33.476,9.433,4.833,2.751,2.151,1186840647,2.975,2.361,2.929,2.325
100408,0,67.337,35.557,5.183,18.121,25.193,3.309,4.6,22.093,34.969,81.35,121.27,201.217,85.598,25.852,1095.454,1.452,1.452,47.614,1.566,5.476,43.362,14.423,9.915,7.079,4.519,866553590,3.831,3.312,3.617,3.127
100409,0,32.796,24.246,2.516,15.709,28.398,2.742,4.957,15.384,54.89,151.735,204.1,88.795,465.826,15.275,325,4.061,3.955,69.661,0.917,5.728,34.357,109.696,21.838,18.34,19.989,1040721545,5.856,5.758,5.135,5.05
100410,0,2.666,9.84,2.343,5.252,10.019,1.311,2.501,15.327,19.901,92.551,101.511,120.355,3.031,44.765,369.679,1.146,1.057,36.351,1.787,4.005,15.105,0.656,0.64,0.354,0.198,1806042434,3.188,2.227,3.21,2.243
100411,0,8.18,-7.256,1.064,3.334,9.309,0.814,2.272,10.685,39.739,85.185,102.378,134.077,84.009,31.437,100,1.334,1.209,34.202,1.307,4.096,39.512,12.66,8.25,5.617,4.296,3514528842,6.471,5.867,5.354,4.854
100412,0,-3.706,37.694,25.074,34.66,31.647,15.521,14.171,50.963,24.159,443.443,492.115,15.344,17.262,75.411,342.455,0.314,0.303,6.284,1.615,2.233,54.021,233.62,93.904,25.971,16.076,1294443264,0.278,-1.147,0.251,-1.035
100413,0,74.067,48.21,2.489,8.781,25.974,1.303,3.855,25.103,19.158,74.52,94.463,291.117,16.47,24.534,157.698,1.977,1.759,37.783,1.909,6.737,29.486,-26.975,-24.875,-17.824,-9.332,2102044441,5.753,4.327,5.843,4.395
100414,0,4.615,19.808,3.315,5.348,5.44,1.851,1.883,11.478,29.61,85.846,166.923,58.4,2.695,62.074,133.678,1.468,1.021,18.293,1.79,2.888,54.815,-6.146,-5.864,-2.229,-1.244,927706931,3.009,1.926,1.987,1.272
100415,0,2.333,-7.329,1.312,3.458,7.538,1.372,2.991,7.664,46.287,30.032,88.543,152.368,10.122,38.096,155.278,2.405,2.328,48.486,0.956,2.52,38.427,2.774,2.591,1.607,1.68,3002191132,6.444,5.787,5.734,5.149
100416,0,8.548,-34.766,0.26,0.821,7.392,0.325,2.929,8.49,57.059,81.037,107.452,216.768,6.543,30.929,173.394,5.532,2.441,55.218,0.8,2.523,30.924,14.081,13.155,8.984,11.228,701256198,7.461,6.213,5.456,4.543
